32, 202
32, 204
30, 206
30, 208
32, 210
34, 210
34, 209
33, 210
30, 207
30, 206
31, 205
32, 205
32, 203
33, 202
34, 203
34, 205
37, 208
37, 238
38, 239
38, 269
37, 270
37, 297
35, 299
33, 297
34, 296
34, 294
33, 293
33, 292
30, 289
30, 271
29, 270
29, 267
30, 266
30, 252
29, 251
29, 249
30, 248
30, 242
31, 241
30, 240
30, 239
29, 238
29, 237
30, 236
30, 235
31, 234
31, 220
32, 219
32, 218
31, 217
31, 216
30, 215
28, 215
27, 216
25, 216
23, 214
21, 214
21, 216
22, 217
20, 219
19, 219
17, 221
19, 219
20, 219
22, 217
21, 216
21, 215
22, 214
23, 214
24, 215
24, 216
27, 216
28, 215
29, 215
32, 218
32, 219
31, 220
31, 234
30, 235
30, 236
29, 237
27, 235
27, 228
24, 225
24, 220
24, 224
22, 226
21, 226
20, 225
18, 225
19, 225
20, 226
23, 226
24, 225
25, 226
25, 227
27, 229
27, 235
29, 237
29, 238
30, 239
30, 240
31, 241
30, 242
30, 248
29, 249
29, 251
30, 252
30, 266
29, 267
29, 270
30, 271
30, 290
29, 291
29, 292
28, 293
26, 293
25, 292
27, 290
26, 290
25, 291
25, 293
29, 293
31, 291
33, 293
33, 294
32, 295
31, 294
33, 296
33, 298
34, 298
35, 299
34, 300
33, 300
34, 301
34, 304
35, 305
35, 314
36, 315
36, 317
35, 318
35, 323
36, 324
36, 325
37, 324
44, 324
44, 322
43, 321
43, 318
44, 317
44, 308
43, 307
43, 305
44, 304
44, 273
44, 304
43, 305
43, 307
44, 308
44, 317
43, 318
43, 321
44, 322
44, 323
43, 324
39, 324
38, 323
39, 322
38, 321
38, 319
38, 323
37, 324
36, 324
35, 323
35, 319
36, 318
36, 316
37, 315
35, 313
35, 308
36, 307
35, 306
36, 305
34, 303
34, 300
35, 299
36, 299
37, 298
37, 270
38, 269
38, 239
37, 238
37, 208
34, 205
34, 202
